Bezeichnung_(Bezirksregion),Straftaten(insgesamt),Raub(insgesamt),"Straßenraub,Handtaschen-raub",Körper-verletzungen(insgesamt),Gefährl._und_schwere_Körper-verletzung,"Freiheits-beraubung,_Nötigung,Bedrohung,_Nachstellung",Diebstahl(insgesamt),Diebstahl_von_Kraftwagen,Diebstahl_an/aus_Kfz,Fahrrad-diebstahl,Wohnraum-einbruch,Branddelikte(insgesamt),Brand-stiftung,Sach-beschädigung(insgesamt),Sach-beschädigung_durch_Graffiti,Rauschgift_Delikte,Kieztaten,Jahr
Spandau,24751,211,97,2744,619,1057,9694,397,1349,903,395,194,97,2332,236,606,5941,2019
Steglitz-Zehlendorf,24135,217,128,1884,362,862,11356,402,1927,2146,777,194,72,2709,756,412,4876,2019
Tempelhof-Schöneberg,39829,352,202,3353,762,1377,17618,464,2554,2511,779,213,89,3599,934,1209,8879,2019
Neukölln,43618,480,273,4072,1219,1467,19291,370,2836,2251,916,222,124,3996,555,2126,10677,2019
Treptow-Köpenick,24878,169,103,2452,562,859,11108,582,1733,2152,458,219,110,2838,636,633,5816,2019
Marzahn-Hellersdorf,23457,239,153,2967,588,906,8605,598,1379,785,331,228,89,2656,445,544,5934,2019
Lichtenberg,27485,260,168,3043,675,950,11637,638,1631,1651,379,202,89,2986,514,534,6882,2019
Reinickendorf,27420,236,129,2614,644,1092,9989,311,1706,1082,623,145,60,2227,428,843,5717,2019
Mitte,85227,733,449,7459,1854,2068,37802,465,3654,4173,775,245,75,5528,1515,3792,14899,2018
Friedrichshain-Kreuzberg,53809,632,426,4739,1587,1145,24384,356,2781,4253,632,196,60,4467,1129,4625,10262,2018
Pankow,36826,320,177,3109,753,1044,17761,603,2046,4263,711,197,71,3761,1082,746,7325,2018
Charlottenburg-Wilmersdorf,51660,417,205,4047,1011,1377,25374,681,3177,3474,933,195,92,3558,813,1024,10888,2018
Spandau,25853,315,184,3046,741,1059,10802,343,1687,1189,365,164,73,2194,241,584,6423,2018
Steglitz-Zehlendorf,23668,137,63,1862,373,821,11633,334,231,2122,663,154,57,2452,618,460,4525,2018
Tempelhof-Schöneberg,41580,336,183,3272,795,1191,20434,419,2694,2708,746,188,73,3441,824,1386,9927,2018
Neukölln,41681,505,286,3911,1153,1379,19562,452,3335,1849,736,241,110,3877,635,1633,10307,2018
Treptow-Köpenick,24769,216,125,2441,500,853,11145,466,1735,2139,496,176,75,2673,687,574,5337,2018
Marzahn-Hellersdorf,23662,168,100,3813,573,968,8456,557,1324,1018,370,243,74,2822,575,485,5881,2018
Lichtenberg,27604,185,110,2935,651,900,11974,621,1786,1805,468,200,75,2765,606,543,6231,2018
Reinickendorf,29263,238,109,2878,665,1161,10630,374,2155,988,673,135,51,2353,399,848,6026,2018
Mitte,96716,763,465,7856,2002,2221,41915,485,4444,4378,960,287,113,5625,1488,3839,16550,2017
Friedrichshain-Kreuzberg,54849,608,374,4536,1589,1139,25208,413,2981,4119,611,179,68,4629,1324,4541,9988,2017
Pankow,38750,303,154,3103,804,1013,19757,582,2878,4024,832,195,74,4126,1401,632,8466,2017
Charlottenburg-Wilmersdorf,53357,401,198,3967,921,1319,25951,875,3973,3352,962,157,65,3806,978,942,9595,2017
Spandau,26240,256,138,2962,731,980,11303,306,1636,1272,603,148,67,2281,364,476,5999,2017
Steglitz-Zehlendorf,23409,146,69,1674,335,796,11441,476,1892,2197,768,187,71,2582,667,373,4239,2017
Tempelhof-Schöneberg,39611,355,184,3197,720,1139,19009,562,3012,2745,719,216,83,3199,636,1095,7542,2017
Neukölln,42520,480,260,3958,1171,1333,20423,597,3227,2167,967,237,108,3764,668,1311,10112,2017
Treptow-Köpenick,24256,200,113,2306,497,750,11453,674,4529,2023,439,105,48,2871,890,495,5042,2017
Marzahn-Hellersdorf,24819,199,111,3152,558,871,9941,676,1732,1047,458,140,44,2871,768,357,6356,2017
Lichtenberg,27379,218,140,2648,577,785,12488,691,2261,1723,529,183,64,2772,688,515,5759,2017
Reinickendorf,30093,236,118,2942,703,1106,11335,305,2176,1035,724,176,67,2459,556,927,6029,2017
Mitte,106006,976,611,7446,1936,2047,49285,533,4973,5038,1354,309,112,5598,1332,3357,16015,2016
